"Part","Description","ClassID","Costing Method","Qty On Hand","Last Labor","Last Material","Last Burden","Last Subcontract","LastUnit","LastExtend","Avg. Labor","Avg. Material","Avg. Burden","Avg. Subcontract","AvgUnit","AvgExtend","Std. Labor","Std. Burden","Std. Material","Std. Subcontract","Std. Material Burden","STDUnit","StdExtended","Type"
"00305-502-00","Plate, Detector Rod","FIN","A",0.00,0.00010,0.00000,0.00000,0.00000,0.000,0.000,0.03050,0.00000,0.10870,0.00000,0.139,0.000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00,0.00,"M"
"00305-502-00-BLANK","Plate Flat Blank","RAW","A",0.00,0.00000,2.80000,0.00000,0.00000,2.800,0.000,0.00000,2.80000,0.00000,0.00000,2.800,0.000,0.00000,0.00000,2.80000,0.00000,0.00000,2.80,0.00,"P"
"00305-505-00","Plate","FIN","A",0.00,0.63480,3.15880,0.41700,0.00000,4.211,0.000,0.63480,3.15880,0.41700,0.00000,4.211,0.000,0.00000,0.00000,3.15880,0.00000,0.00000,3.16,0.00,"M"
"00305-505-00-BLANK","Plare, Formed Blank","RAW","A",0.00,0.00000,0.00000,0.00000,0.00000,0.000,0.000,0.00000,0.00000,0.00000,0.00000,0.000,0.000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00,0.00,"P"
"00305-506-00","Plate, Side, Lock Rod","FIN","A",0.00,0.07070,0.00000,0.13240,0.00000,0.203,0.000,0.06950,0.00000,0.13010,0.00000,0.200,0.000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00,0.00,"M"
"00305-506-00-Blank","SubMFG'd part","RAW","A",0.00,0.00000,2.75000,0.00000,0.00000,2.750,0.000,0.00000,2.75000,0.00000,0.00000,2.750,0.000,0.00000,0.00000,2.75000,0.00000,0.00000,2.75,0.00,"P"
"00305-907-00","PLATE TERM BLK MTG","FIN","A",0.00,0.00000,0.00000,24.75000,0.00000,24.750,0.000,0.00000,0.00000,24.75000,0.00000,24.750,0.000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00,0.00,"M"
"00441-011-00","STUD","FIN","A",0.00,0.00000,0.00000,8.90000,0.00000,8.900,0.000,0.00000,0.00000,8.90000,0.00000,8.900,0.000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00,0.00,"M"
"00441-618-00","STUD","FIN","A",0.00,0.00000,0.00000,0.33000,0.00000,0.330,0.000,0.00000,0.00000,0.33000,0.00000,0.330,0.000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00,0.00,"M"
"00486-000-00","PIN, .125 x 7/8 Lg","FIN","A",0.00,1.29890,0.63440,2.66440,0.00000,4.598,0.000,1.29840,0.63420,2.66490,0.00000,4.598,0.000,0.00000,0.00000,0.63420,0.00000,0.00000,0.63,0.00,"M"
"00500-000-00","PIN","FIN","A",0.00,2.77240,0.14880,4.91480,0.00000,7.836,0.000,2.77240,0.14880,4.91480,0.00000,7.836,0.000,0.00000,0.00000,0.14880,0.00000,0.00000,0.15,0.00,"M"
"00500-060-00"," Pin, dowel, .250 dia. x 1.00 lg.     DB Roberts","FIN","A",0.00,0.00000,0.23430,0.00000,0.00000,0.234,0.000,0.00000,0.23430,0.00000,0.00000,0.234,0.000,0.00000,0.00000,0.23430,0.00000,0.00000,0.23,0.00,"P"
"00500-063-00","Pin","FIN","A",0.00,0.00000,0.00000,0.00000,0.00000,0.000,0.000,0.00000,0.00000,0.00000,0.00000,0.000,0.000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00,0.00,"M"
"005-0086","Cover 119-0421","FIN","A",1.00,0.00000,0.00000,52.45000,0.00000,52.450,0.000,0.00000,0.00000,52.45000,0.00000,52.450,52.450,0.00000,0.00000,0.00000,0.00000,0.00000,0.00,0.00,"M"
"00504-155-00","PIN","FIN","A",0.00,0.00000,0.00000,5.58000,0.00000,5.580,0.000,0.00000,0.00000,5.58000,0.00000,5.580,0.000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00,0.00,"M"
"00504-324-00","PIN","FIN","A",0.00,0.00000,0.00000,5.47000,0.00000,5.470,0.000,0.00000,0.00000,5.47000,0.00000,5.470,0.000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00,0.00,"M"
"00559-017-00","PLATE","FIN","A",0.00,0.00000,0.00000,12.02000,0.00000,12.020,0.000,0.00000,0.00000,12.02000,0.00000,12.020,0.000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00,0.00,"M"
"00585-013-00","SLEEVE","FIN","A",0.00,23.67250,25.46280,34.60560,2.80950,86.550,0.000,27.72680,32.75100,33.87410,2.87800,97.230,0.000,0.00000,0.00000,32.75100,0.00000,0.00000,32.75,0.00,"M"
"007-0551","RISER PLATE","FIN","A",12.00,0.00000,0.00000,10.89000,0.00000,10.890,0.000,0.00000,0.00000,10.89000,0.00000,10.890,130.680,0.00000,0.00000,0.00000,0.00000,0.00000,0.00,0.00,"M"
"00734-031-00","LINK","FIN","A",0.00,0.00000,0.00000,33.80000,0.00000,33.800,0.000,0.00000,0.00000,33.80000,0.00000,33.800,0.000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00,0.00,"M"
"00734-040-00","LINK","FIN","A",0.00,0.00000,0.00000,52.57000,0.00000,52.570,0.000,0.00000,0.00000,52.57000,0.00000,52.570,0.000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00,0.00,"M"
"00734-051-00","LINK","FIN","A",0.00,2.09800,1.05880,4.37400,0.00000,7.531,0.000,2.15000,1.08640,4.50900,0.95270,8.698,0.000,0.00000,0.00000,1.08640,0.00000,0.00000,1.09,0.00,"M"
"00786-398-00","Spring, Compression .75 lg","FIN","A",0.00,0.00000,0.00000,6.25000,0.00000,6.250,0.000,0.00000,0.00000,6.25000,0.00000,6.250,0.000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00,0.00,"M"
"00846-064-00","Nut","FIN","A",0.00,0.00000,0.00000,62.50000,0.00000,62.500,0.000,0.00000,0.00000,62.50000,0.00000,62.500,0.000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00,0.00,"M"
"00846-071-00","Nut","FIN","A",0.00,0.00000,0.00000,2.11000,0.00000,2.110,0.000,0.00000,0.00000,2.11000,0.00000,2.110,0.000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00,0.00,"M"
"00846-072-00","NUT-3/8-16 X 3/8 LONG THUMB   
McMASTER CAR#94775A031","FIN","A",0.00,0.00000,0.00000,0.00000,0.00000,0.000,0.000,0.00000,0.00000,0.00000,0.00000,0.000,0.000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00,0.00,"P"
"00879-043-00","Stud","FIN","A",0.00,0.00000,0.00000,0.00000,0.00000,0.000,0.000,0.00000,0.00000,0.00000,0.00000,0.000,0.000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00,0.00,"M"
"00980-019-00","Stud","FIN","A",0.00,0.00000,0.00000,0.00000,0.00000,0.000,0.000,0.00000,0.00000,0.00000,0.00000,0.000,0.000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00,0.00,"M"
"00LT699","BRACKET","FIN","A",9.00,0.00000,0.00000,13.21000,0.00000,13.210,0.000,0.00000,0.00000,13.21000,0.00000,13.210,118.890,0.00000,0.00000,0.00000,0.00000,0.00000,0.00,0.00,"M"
"01-0004","50-watt LED Light Source, ACMI port","FIN","S",0.00,13.36000,1340.00000,0.00000,0.00000,1353.360,0.000,13.36000,1340.00000,0.00000,0.00000,1353.360,0.000,13.36000,0.00000,1,340.00000,0.00000,0.00000,1,353.36,0.00,"M"
"01-0004","50-watt LED Light Source, ACMI port","FIN","S",1.00,13.36000,1340.00000,0.00000,0.00000,1353.360,0.000,13.36000,1340.00000,0.00000,0.00000,1353.360,0.000,13.36000,0.00000,1,340.00000,0.00000,0.00000,1,353.36,1,353.36,"M"
"01-0004T","50-watt LED Light Source with 4-port turret","FIN","S",0.00,10.64000,1435.00000,0.00000,0.00000,1445.640,0.000,10.64000,1435.00000,0.00000,0.00000,1445.640,0.000,10.64000,0.00000,1,435.00000,0.00000,0.00000,1,445.64,0.00,"M"
"01-0004T","50-watt LED Light Source with 4-port turret","FIN","S",1.00,10.64000,1435.00000,0.00000,0.00000,1445.640,0.000,10.64000,1435.00000,0.00000,0.00000,1445.640,0.000,10.64000,0.00000,1,435.00000,0.00000,0.00000,1,445.64,1,445.64,"M"
"01-0011","Fiber Optic Cable, 90in. long, 5.0mm dia., reinforced","FIN","S",0.00,2.39400,156.88000,0.00000,0.00000,159.274,0.000,2.39400,156.88000,0.00000,0.00000,159.274,0.000,2.39400,0.00000,156.88000,0.00000,0.00000,159.27,0.00,"M"
"01-0011","Fiber Optic Cable, 90in. long, 5.0mm dia., reinforced","FIN","S",0.00,2.39400,156.88000,0.00000,0.00000,159.274,0.000,2.39400,156.88000,0.00000,0.00000,159.274,0.000,2.39400,0.00000,156.88000,0.00000,0.00000,159.27,0.00,"M"
"01-0021","LED Mobile Floor Stand for LED Light Sources","FIN","S",0.00,0.00000,0.00000,0.00000,0.00000,0.000,0.000,0.00000,0.00000,0.00000,0.00000,0.000,0.000,92.00000,0.00000,92.00000,0.00000,0.00000,184.00,0.00,"M"
"01-0021","LED Mobile Floor Stand for LED Light Sources","FIN","S",0.00,0.00000,0.00000,0.00000,0.00000,0.000,0.000,0.00000,0.00000,0.00000,0.00000,0.000,0.000,92.00000,0.00000,92.00000,0.00000,0.00000,184.00,0.00,"M"
"01-0090","Olympus Adaptor for Fiber Optic Cables","FIN","S",0.00,39.66250,3.47000,54.21000,0.00000,97.343,0.000,39.66250,3.47000,54.21000,0.00000,97.343,0.000,39.66250,54.21000,3.47000,0.00000,0.00000,97.34,0.00,"M"
"01-0090","Olympus Adaptor for Fiber Optic Cables","FIN","S",0.00,39.66250,3.47000,54.21000,0.00000,97.343,0.000,39.66250,3.47000,54.21000,0.00000,97.343,0.000,39.66250,54.21000,3.47000,0.00000,0.00000,97.34,0.00,"M"
"01-0094","Storz Adaptor for Fiber Optic Cables","FIN","S",0.00,113.95250,3.03000,97.77630,0.00000,214.759,0.000,113.95250,3.03000,97.77630,0.00000,214.759,0.000,113.95250,97.77630,3.03000,0.00000,0.00000,214.76,0.00,"M"
"01-0094","Storz Adaptor for Fiber Optic Cables","FIN","S",0.00,113.95250,3.03000,97.77630,0.00000,214.759,0.000,113.95250,3.03000,97.77630,0.00000,214.759,0.000,113.95250,97.77630,3.03000,0.00000,0.00000,214.76,0.00,"M"
"0101 - .750 x .510",".75 OD x .510 ID A513-T5 DOM TUBE","RAW","S",0.00,0.00000,3.89000,0.00000,0.00000,3.890,0.000,0.00000,3.89000,0.00000,0.00000,3.890,0.000,0.00000,0.00000,3.89000,0.00000,0.00000,3.89,0.00,"P"
"0101-.0810",".0810/.0815""  Ground 4140","RAW","S",0.00,0.00000,4.08770,0.00000,0.00000,4.088,0.000,0.00000,4.08770,0.00000,0.00000,4.088,0.000,0.00000,0.00000,4.08770,0.00000,0.81750,4.91,0.00,"P"
"0101-.1746","12L14 Steel Ground to .1747/.1745""","RAW","S",60.00,0.00000,1.85530,0.00000,0.00000,1.855,0.000,0.00000,1.38800,0.00000,0.00000,1.388,0.000,0.00000,0.00000,1.38800,0.00000,0.27760,1.67,99.94,"P"
"0101-1.250 USA","1.250"" Round ANSI 4140, Per ASTM A193, Grade B7 Material Must Be Made in USA","RAW","S",0.00,0.00000,13.34420,0.00000,0.00000,13.344,0.000,0.00000,13.34420,0.00000,0.00000,13.344,0.000,0.00000,0.00000,13.34420,0.00000,2.66880,16.01,0.00,"P"
